S.No,Molecule SMILE,PCE
76,CCCCCCCCc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=C(C(=N1)/C(=c\3/cc2)/c1ccc(cc1)CCCCCCCC)/C=C/C=C(C(=O)O)C(=O)O)/c1ccc(cc1)CCCCCCCC)/c1ccc(cc1)CCCCCCCC,5.3
77,Cc1cc(C)cc(c1)/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C(=C2)/C=C/C=C(C(=O)O)C(=O)O)/c1cc(C)cc(c1)C)cc5)/c1cc(C)cc(c1)C)/C=C4)\c1cc(C)cc(c1)C,6.1
78,CCCCCCCCCCCCOc1cc(cc(c1OCCCCCCCCCCCC)OCCCCCCCCCCCC)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cc(OCCCCCCCCCCCC)c(c(c1)OCCCCCCCCCCCC)OCCCCCCCCCCCC)/C#Cc1ccc(cc1)C(=O)O,4.78
79,CCCCCCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCCCCCC)cccc1OCCCCCCCCCCCC)/C#Cc1ccc(cc1)C(=O)O)OCCCCCCCCCCCC,7.43
80,CN(c1ccc(cc1)C#C/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/C#Cc1ccc(cc1)C(=O)O)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C,9.34
81,CCCCCCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCCCCCC)cccc1OCCCCCCCCCCCC)/C#Cc1ccc(cc1)C(=O)O)/C#Cc1ccc(cc1)N(C)C)OCCCCCCCCCCCC,10.17
82,CCCCCCCCCCCCOc1ccc(cc1)C1=C2CCC3N2[Zn]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3c2ccc(cc2)OCCCCCCCCCCCC)cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)OCCCCCCCCCCCC,4.97
83,CCCCCCCCCCCCOc1cc(ccc1OCCCCCCCCCCCC)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/CCC(/C(=c\3/cc2)/c2ccc(cc2)C(=O)O)N1)/c1ccc(c(c1)OCCCCCCCCCCCC)OCCCCCCCCCCCC)/c1ccc(c(c1)OCCCCCCCCCCCC)OCCCCCCCCCCCC,5.98
85,CCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCC)cccc1OCCCCCCCC)/C#Cc1ccc(cc1)C(=O)O)/C#Cc1ccc2c(c1)c1ccccc1n2CC)OCCCCCCCC,4.4
86,CCCCCCCCOc1cccc(c1/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(OCCCCCCCC)cccc1OCCCCCCCC)/C#Cc1ccc(cc1)C(=O)O)/C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)OCCCCCCCC,5
